program_id,program_name,program_type,contract_type,program_phase,BAC,AC,EV,PV,CPI,SPI,cost_variance,schedule_variance,subcontractor_delay_days,change_orders_count,material_cost_inflation_pct,supplier_risk_score,months_remaining,historical_rebaseline_count,final_eac,overrun_flag,risk_band
PRG-1052,ISR Program 53,ISR,Cost Plus,Deployment,187055083.23656687,145676341.03968734,142866082.03565386,134489041.58974662,0.9807088853002708,1.0622879035115818,-2810259.004033476,8377040.445907235,81,1,10.752133183890562,18.759368193949133,12,3,207158371.63888994,1,High
PRG-1053,Missile Program 54,Missile,Fixed Price,Test,499396817.6320471,217794759.62875754,180011558.01302192,211144767.26526904,0.8265192345300729,0.852550410528842,-37783201.61573562,-31133209.252247125,22,15,8.709691111327244,59.521284041337175,5,1,673704911.108674,1,High
PRG-1054,Radar Program 55,Radar,Cost Plus,Build,52240001.04692811,18381237.972004015,17170193.2626238,18105160.396396633,0.9341151716100556,0.9483590803228171,-1211044.7093802132,-934967.1337728314,60,14,5.624199486558048,95.92092728445759,14,4,60770461.88464247,1,High
PRG-1055,ISR Program 56,ISR,Cost Plus,Deployment,132846616.10271655,65317537.83210269,62707729.80716263,66166840.01590919,0.9600442987969247,0.9477213932550678,-2609808.024940066,-3459110.20874656,26,9,8.187831299104447,29.938329151482556,32,1,150266352.99862668,1,High
PRG-1056,Missile Program 57,Missile,Fixed Price,Build,289514909.31890464,231471110.31192574,215048542.4100933,218468660.5390912,0.9290513279186258,0.984345040059483,-16422567.901832432,-3420118.128997892,18,15,8.420572246769265,81.46384431178826,36,3,343479864.22762835,1,High
PRG-1057,Sustainment Program 58,Sustainment,Cost Plus,Build,68909195.51098153,49858101.898036525,47581027.63327879,46496312.09018644,0.954328901862038,1.0233290662061194,-2277074.2647577375,1084715.5430923477,16,0,11.557519745621423,10.300268413015878,12,0,72936239.84677255,1,High
PRG-1058,Avionics Program 59,Avionics,Cost Plus,Build,170033575.53372028,45148990.31761942,41118607.15698599,37732699.65492795,0.9107314885165755,1.0897340379305682,-4030383.16063343,3385907.502058044,7,14,3.2772259567729316,30.20715687836385,26,2,199510935.0828542,1,High
PRG-1059,Radar Program 60,Radar,Cost Plus,Design,434126990.59562147,109021977.84064959,103181744.86387669,98839813.73187606,0.9464306822124509,1.0439289691882567,-5840232.976772904,4341931.132000625,49,6,9.586392512792427,84.12037062149564,21,1,501487958.3824773,1,High
PRG-1060,Avionics Program 61,Avionics,Cost Plus,Test,129561380.22244187,64391662.49419196,51288832.23406842,60515290.68136114,0.7965135585479658,0.8475350883485967,-13102830.260123536,-9226458.447292715,29,13,2.654994127132215,4.737402000548185,27,1,175664273.34636447,1,High
PRG-1061,Missile Program 62,Missile,Cost Plus,Design,35016086.19278938,11488690.295790218,9905057.389927836,11120996.292155718,0.8621572289712893,0.8906627724455268,-1583632.9058623817,-1215938.9022278823,27,9,10.343788663987569,0.47413929118739206,12,4,45330224.60909353,1,High
PRG-1062,Avionics Program 63,Avionics,Fixed Price,Deployment,142046472.2019955,119467104.5247199,117694728.13120927,128547665.18602842,0.9851643144733294,0.915572662956474,-1772376.3935106248,-10852937.054819152,19,1,9.944752804021242,31.839911782845963,15,2,154202044.08637556,1,High
PRG-1063,ISR Program 64,ISR,Cost Plus,Build,172465104.4945096,47970231.61301863,43067805.51676344,39572988.767309204,0.8978027428384414,1.0883131868053713,-4902426.096255191,3494816.7494542375,84,2,8.977016529359556,70.80912356835879,13,3,213930284.09861338,1,High
PRG-1064,Missile Program 65,Missile,Cost Plus,Design,88984957.49865639,59073104.912684746,56265922.52577251,63672617.42162901,0.9524795185378947,0.8836753506328999,-2807182.386912234,-7406694.8958565,107,4,1.1823778208731262,99.30845819305065,3,2,102144110.16704172,1,High
PRG-1065,Avionics Program 66,Avionics,Fixed Price,Deployment,277376198.29346013,174864930.25716084,139398247.4827047,170421188.91095755,0.7971766967664818,0.8179631205104322,-35466682.77445614,-31022941.428252846,15,4,8.299831513263872,83.62451768426013,9,0,384750596.40571165,1,High
PRG-1066,Missile Program 67,Missile,Fixed Price,Build,313169663.9530008,187798669.5504519,189750096.72304538,189432537.69928634,1.01039105962393,1.00167637000283,1951427.1725934744,317559.02375903726,27,12,9.342644609032295,98.34170759929376,22,0,340930474.2971245,1,High
PRG-1067,Avionics Program 68,Avionics,Cost Plus,Test,269710432.18207705,129923587.28950846,140640098.36394978,119880738.56156017,1.0824831833696351,1.1731667659999394,10716511.074441314,20759359.802389607,19,10,2.6431157200496584,96.15496295410325,12,0,268540879.7574718,0,Low
PRG-1068,Sustainment Program 69,Sustainment,Fixed Price,Design,245504426.3239174,189227291.62952667,171984506.52573678,180603270.41242522,0.9088779163126839,0.9522779190708637,-17242785.103789896,-8618763.886688441,103,1,9.04249574318075,78.29601300260849,28,4,294280114.88784575,1,High
PRG-1069,Avionics Program 70,Avionics,Fixed Price,Deployment,403086769.19279987,120932667.6924118,124902176.58891791,99892369.78357454,1.0328241241366016,1.2503675391777098,3969508.896506116,25009806.805343375,25,15,5.1485914839124876,71.93125336908236,34,4,424279361.2501659,1,High
PRG-1070,ISR Program 71,ISR,Cost Plus,Build,216387189.25990263,148402013.8214805,139349147.7620643,129280854.6486401,0.9389976872530429,1.0778792276767342,-9052866.059416205,10068293.113424212,38,5,5.335176808524305,13.110869302621985,15,1,245410485.30339894,1,High
PRG-1071,Missile Program 72,Missile,Cost Plus,Deployment,136926437.77213156,44781682.402643405,48344166.33923193,39959119.41519911,1.079552257652076,1.2098406332959237,3562483.936588526,8385046.924032822,57,3,3.043427483581959,52.20123013665123,4,2,134277602.4011313,0,Low
PRG-1072,Missile Program 73,Missile,Cost Plus,Deployment,333209216.36127836,178748372.50914457,154765406.43044743,160273160.0310795,0.8658283387868597,0.9656352092916616,-23982966.078697145,-5507753.6006320715,5,5,10.643818769910812,90.16418535664384,29,0,411472997.13386166,1,High
PRG-1073,Sustainment Program 74,Sustainment,Fixed Price,Design,86140897.24534649,38909341.095477626,31632223.609595206,40462104.30373827,0.812972482159863,0.781774061283133,-7277117.48588242,-8829880.694143068,89,9,6.9660084253242545,16.531132336729115,5,1,117439614.94319004,1,High
PRG-1074,Missile Program 75,Missile,Cost Plus,Test,162095774.19681236,78427582.44909318,81439600.84235287,80059799.78962557,1.038405090392972,1.0172346303182498,3012018.393259689,1379801.052727297,103,0,11.356927424119089,12.06553374436864,10,1,165047900.79298598,0,Low
PRG-1075,Sustainment Program 76,Sustainment,Cost Plus,Test,106156194.72612198,54634020.476452164,47170360.44805513,54888820.01769474,0.8633880508278913,0.8593801148002203,-7463660.028397031,-7718459.569639608,16,13,10.62032653841129,33.9322145736561,21,2,136411387.38518393,1,High
PRG-1076,Radar Program 77,Radar,Cost Plus,Deployment,446234637.7306784,337985912.84003794,320007323.8333112,323700557.39384496,0.9468066912740365,0.9885905863423021,-17978589.00672674,-3693233.560533762,29,6,5.780193931674594,13.175483289206745,21,1,497438332.24375707,1,High
PRG-1077,Missile Program 78,Missile,Cost Plus,Deployment,98516901.30085279,57319756.103405654,49643652.91724305,47450107.49713179,0.8660827660830446,1.0462284604991434,-7676103.186162606,2193545.4201112613,45,1,11.085332483921153,32.153299148233174,34,3,124863568.1286017,1,High
PRG-1078,Sustainment Program 79,Sustainment,Cost Plus,Design,494529871.28939676,401621098.4159613,377274088.8426586,345292956.9059613,0.9393781609847439,1.0926202845933148,-24347009.573302746,31981131.936697304,48,13,4.755257741199004,5.010668969693377,34,4,559833563.2728149,1,High
PRG-1079,Radar Program 80,Radar,Fixed Price,Test,400944984.2539412,166016644.97781023,154215594.98277318,163716243.43972898,0.9289164649929266,0.9419688098300802,-11801049.995037049,-9500648.45695579,91,0,11.927053482522957,28.08963859641551,32,0,474512662.25377643,1,High
PRG-1080,ISR Program 81,ISR,Cost Plus,Test,208605147.95371196,172022564.93941617,176650185.87223992,161681574.98383236,1.0269012436505265,1.0925808082331234,4627620.932823747,14968610.888407558,15,4,7.596648923875894,47.27839727589982,25,3,210601835.84684876,0,Low
PRG-1081,Sustainment Program 82,Sustainment,Cost Plus,Test,426083629.4277962,116721085.84499553,126460971.9219192,118460328.17717512,1.083445814493691,1.0675385917619435,9739886.076923668,8000643.744744077,33,15,6.845551927569682,65.99957188011513,8,1,431830742.0090043,0,Low
PRG-1082,ISR Program 83,ISR,Fixed Price,Build,289673086.4302397,208241579.11061552,226652082.00207672,193460228.83137408,1.088409351149233,1.1715693885570335,18410502.891461194,33191853.170702636,44,3,4.765986766300595,40.8156668231013,25,2,284059239.0803594,0,Low
PRG-1083,Avionics Program 84,Avionics,Cost Plus,Test,334648514.4046651,210351160.2767032,187428337.4776675,183306429.4570303,0.8910259265084052,1.0224864345066709,-22922822.7990357,4121908.020637214,19,12,10.466934415357432,24.668037722614734,34,3,405659525.8112804,1,High
PRG-1084,Sustainment Program 85,Sustainment,Cost Plus,Build,343873542.7276534,275666223.7339907,265826833.89279124,276317260.884377,0.9643068718832446,0.9620348473417467,-9839389.841199487,-10490426.991585761,33,12,7.710665311758913,25.51069310273807,35,1,386364272.41832364,1,High
PRG-1085,ISR Program 86,ISR,Fixed Price,Build,349005305.96528685,91041163.9224364,98100185.18875115,89098266.78403816,1.0775365885296542,1.1010335972812175,7059021.266314745,9001918.40471299,43,7,11.295312493792984,85.39843761472291,14,1,360182273.27702475,1,Medium
PRG-1086,ISR Program 87,ISR,Fixed Price,Build,137218400.36762637,123554869.63017891,131799659.04173855,132739092.53458919,1.066729781159073,0.9929227066803562,8244789.411559641,-939433.4928506315,59,0,9.411339514181996,76.25900919626407,28,0,136121282.00934264,0,Low
PRG-1087,Avionics Program 88,Avionics,Cost Plus,Test,158873665.32912058,67254197.29165553,61833106.27158031,58975388.421236314,0.9193940119965147,1.0484561090116529,-5421091.020075217,2857717.850343995,79,13,10.466269112238136,16.769951967778095,15,0,185599355.30039826,1,High
PRG-1088,Avionics Program 89,Avionics,Fixed Price,Design,391681232.56786454,125137183.31001109,140094484.83976558,108878561.33333188,1.1195272351040515,1.2867040409439843,14957301.52975449,31215923.506433696,96,15,5.650803658014729,61.96685259698614,8,4,395329024.1351003,0,Low
PRG-1089,Sustainment Program 90,Sustainment,Cost Plus,Design,399554227.47007704,180653139.628801,181660119.64169708,153388904.31793717,1.0055741074578897,1.1843106934590308,1006980.0128960907,28271215.323759913,86,13,2.9399201800888344,42.34953946796538,20,2,427077072.4460405,1,High
PRG-1090,Radar Program 91,Radar,Fixed Price,Deployment,499722516.42761016,273730003.72248256,281248469.5418074,293967591.1115546,1.0274667216493643,0.9567329122177942,7518465.819324851,-12719121.56974721,83,5,6.073297744213312,42.477692481545596,13,1,527598060.83045244,1,High
PRG-1091,Missile Program 92,Missile,Cost Plus,Test,419417636.1353533,324356318.79637647,288458355.75879306,329122216.8110987,0.889325531961906,0.8764475353675536,-35897963.03758341,-40663861.05230564,86,12,6.403831910305028,89.3031019536303,12,0,526057602.86216736,1,High
PRG-1092,Sustainment Program 93,Sustainment,Cost Plus,Build,52408870.48995921,13710278.194594968,12727904.738801297,14003708.435828153,0.9283476642960495,0.9088952970655442,-982373.4557936713,-1275803.6970268562,11,1,8.174833671124409,82.31273174161865,4,1,59657625.13069475,1,High
PRG-1093,Missile Program 94,Missile,Fixed Price,Test,278692047.80680966,203861641.84183472,186354761.61053732,206272787.80533645,0.9141237160991764,0.9034384205172223,-17506880.231297404,-19918026.194799125,71,4,9.27561805876908,50.41786043908139,21,3,344433910.5382286,1,High
PRG-1094,Radar Program 95,Radar,Cost Plus,Design,380715589.07427007,116350871.13537116,97727641.80953881,100712161.36413951,0.8399390641075243,0.9703658474391217,-18623229.325832352,-2984519.5546007007,44,0,5.383572858216336,99.03884573604824,30,4,484612319.58957696,1,High
PRG-1095,Missile Program 96,Missile,Cost Plus,Build,440040415.54595953,412266175.22931194,348522498.92840004,361725417.45163727,0.8453822308719453,0.9635001636980557,-63743676.3009119,-13202918.523237228,57,10,4.179919398020109,73.47251307805799,3,2,565180786.1547279,1,High
PRG-1096,Radar Program 97,Radar,Fixed Price,Design,43740385.83008753,27976211.88653679,24296298.82764906,25985720.712600075,0.8684627828166172,0.9349865295776908,-3679913.0588877276,-1689421.884951014,100,4,10.09272633123723,56.12230678900442,28,0,55855906.66982267,1,High
PRG-1097,Radar Program 98,Radar,Cost Plus,Build,290765665.782667,186651613.62641418,145656001.61205813,163356009.5038216,0.780362938107734,0.891647647701939,-40995612.01435605,-17700007.89176348,72,14,8.10919839551415,17.196035193702286,31,4,420964884.6649006,1,High
PRG-1098,Sustainment Program 99,Sustainment,Fixed Price,Design,123285571.8217849,73973783.35462329,74790393.49597128,64776178.67440646,1.0110391831310457,1.1545971841269096,816610.1413479894,10014214.821564816,57,14,3.2768367560492373,42.273403427206226,6,2,131329038.00411405,1,High
PRG-1099,Missile Program 100,Missile,Fixed Price,Build,193164169.5287617,53970203.066113904,46955935.416928284,52822047.30806271,0.8700344402893373,0.8889457681009076,-7014267.64918562,-5866111.891134426,50,3,10.772019983691246,92.96666209195551,26,0,242159817.59160882,1,High
PRG-1100,Missile Program 101,Missile,Cost Plus,Design,429143512.6065278,333940599.6621102,320202476.7907864,360367348.0008396,0.9588605791412472,0.8885446435897416,-13738122.871323824,-40164871.210053205,13,7,5.413914606047247,32.393666893763616,4,2,480736022.63989085,1,High
PRG-1101,Sustainment Program 102,Sustainment,Fixed Price,Design,489744389.07221067,280885269.91682404,311810965.00725806,258130870.4638981,1.110100807705551,1.2079568958446898,30925695.090434015,53680094.543359965,97,6,7.432279730854303,12.805261054778693,25,1,479936340.7874201,0,Low
